t,z_spreads,z_equities,z_liquidity,z_goldcurrency,z_roro
06nov2023,-.96783894,-.11492627,-.67517585,.33752143,-.50434679
07nov2023,.54471993,.19036818,.06149612,1.1689837,.61346591
08nov2023,.013177929,-.21631873,-.029732326,.49354911,-.14249966
09nov2023,-.55109549,-.18328114,.12634371,-.21275452,-.44075903
10nov2023,-.57132131,.080983497,.25329867,.54785597,.063000038
13nov2023,-.37616807,-.22502458,-.25909138,.028182918,-.37894574
14nov2023,-.090058103,-1.3263789,1.2563564,-2.0573597,-1.4837713
15nov2023,-1.1346428,-.3819671,-.79300439,.093127854,-.83413279
16nov2023,1.4223781,.22324765,.10994308,-.24190107,.86267138
17nov2023,-.81740123,-.62853664,-.091665521,-.34307358,-.89752823
20nov2023,-.95627707,-.24692458,-.05330307,-.63206172,-.71632707
21nov2023,.44575089,.13274668,.15741518,-.60945457,.33083057
22nov2023,-1.5523347,-.22532214,-.163268,.96931171,-.63452506
23nov2023,-.3401134,-.14092468,.00069424999,-.033694025,-.25558805
24nov2023,-.28479421,-.26197377,.026469521,-1.1327574,-.4634054
27nov2023,.43324009,.36376449,.31433645,-.39094964,.55493575
28nov2023,1.132652,.06775593,.070611894,-1.6610818,.39266753
29nov2023,-1.424906,-.026721299,-.0003328145,.28058279,-.56613839
30nov2023,-.53580272,-.2162727,-.13898882,.63048404,-.26251793
01dec2023,1.0614979,-.37879553,.72985697,-1.2531246,-.0092080561
04dec2023,-1.2821789,.36741036,-.84460479,1.7173657,-.050558779
05dec2023,-.22187836,-.057839483,.57520604,.75179768,.038187154
06dec2023,-.53526604,-.19612092,.097644053,-.20102704,-.35518795
07dec2023,-.14206201,.076679662,-.11434339,-.36423668,-.007081897
08dec2023,-.9120999,-.40087751,-.39330181,1.158263,-.60689747
11dec2023,.21550281,-.16343825,.14512105,.7168529,.031062845
12dec2023,-.42805523,-.21783714,.24156655,-.16184428,-.32933769
13dec2023,.38230476,-.23003289,.43706715,-1.4830739,-.062866189
