bucket_family,bucket,transition_type,rank_reason,run_seed,sample_index,Date_stage2,future_return_stage2,prob_up_stage2,prob_up_stage4,prob_up_delta,pred_class_stage2,pred_class_stage4,correct_stage2,correct_stage4,context__funding_rate_mean_20_normalized,context__funding_rate_max_7_normalized,context__cot_open_interest_change_20_normalized,context__cot_open_interest_zscore_60_normalized,context__cot_lev_money_net_ratio_normalized
stage2_uncertain_40_60,yes,regression,largest_abs_prob_up_delta,43,1030,2021-02-22T00:00:00,0.0902357228551349,0.5055533647537231,0.4783945977687835,-0.02715876698493963,1,0,True,False,2.537022569489749,2.256622313878564,0.3186096187292125,-0.1217830151082931,-2.396257284145168
stage2_uncertain_40_60,yes,regression,largest_abs_prob_up_delta,43,1240,2021-09-20T00:00:00,0.2706779537293662,0.5179932713508606,0.4914480745792389,-0.026545196771621704,1,0,True,False,0.0505882502006439,-0.5081047145983825,1.5427741827188104,0.7286436591932982,-2.207940026552597
funding_mean_20_high20,yes,correction,largest_abs_prob_up_delta,42,1084,2021-04-17T00:00:00,-0.0448601871858891,0.5032231211662292,0.472791463136673,-0.030431658029556274,1,0,False,True,2.1884945533534554,3.811967670243965,-0.3313827504847471,-0.3206527861008317,-2.435941644374247
funding_mean_20_high20,yes,correction,largest_abs_prob_up_delta,43,1079,2021-04-12T00:00:00,-0.0548244236551954,0.5087913870811462,0.479749470949173,-0.029041916131973267,1,0,False,True,1.5634268361591854,3.811967670243965,0.2383727351003093,-0.2399596707010164,-2.463738670193471
funding_mean_20_high20,yes,correction,largest_abs_prob_up_delta,42,1079,2021-04-12T00:00:00,-0.0548244236551954,0.5227197408676147,0.4971711933612823,-0.025548547506332453,1,0,False,True,1.5634268361591854,3.811967670243965,0.2383727351003093,-0.2399596707010164,-2.463738670193471
funding_mean_20_high20,yes,correction,largest_abs_prob_up_delta,43,2171,2024-04-08T00:00:00,-0.1187012007819044,0.5031680464744568,0.4779429733753204,-0.025225073099136408,1,0,False,True,0.7294080928253545,0.596891363126222,-2.759836687106325,-0.8581663059975484,-1.664931803876669
funding_mean_20_high20,yes,correction,largest_abs_prob_up_delta,43,1077,2021-04-10T00:00:00,-0.0347145759023094,0.502491295337677,0.4795008897781372,-0.022990405559539795,1,0,False,True,1.2273963485927453,1.7227645597282146,0.2383727351003093,-0.2303118959964304,-2.463738670193471
funding_mean_20_high20,yes,regression,largest_abs_prob_up_delta,43,1030,2021-02-22T00:00:00,0.0902357228551349,0.5055533647537231,0.4783945977687835,-0.02715876698493963,1,0,True,False,2.537022569489749,2.256622313878564,0.3186096187292125,-0.1217830151082931,-2.396257284145168
funding_mean_20_high20,yes,regression,largest_abs_prob_up_delta,42,1086,2021-04-19T00:00:00,0.0468731407215194,0.5222777724266052,0.4989007413387298,-0.02337703108787542,1,0,True,False,2.150364338635288,1.879342951308624,-0.3313827504847471,-0.2839043630599761,-2.435941644374247
funding_mean_20_high20,yes,regression,largest_abs_prob_up_delta,43,2404,2024-11-27T00:00:00,0.1071385019743258,0.5037149786949158,0.4830676615238189,-0.020647317171096857,1,0,True,False,0.5369716580102868,0.0794370595223924,3.3873391643454656,1.0194098454839415,-1.281820192968358
funding_mean_20_high20,yes,regression,largest_abs_prob_up_delta,45,1086,2021-04-19T00:00:00,0.0468731407215194,0.5179962515830994,0.4993210136890411,-0.018675237894058283,1,0,True,False,2.150364338635288,1.879342951308624,-0.3313827504847471,-0.2839043630599761,-2.435941644374247
funding_mean_20_high20,yes,regression,largest_abs_prob_up_delta,43,1277,2021-10-27T00:00:00,0.0281686885757799,0.5170704126358032,0.4985890984535217,-0.01848131418228155,1,0,True,False,0.4274269943216129,0.4149621843375558,3.3873391643454656,1.3892901822058674,-1.13039094814327
funding_mean_20_low20,yes,correction,largest_abs_prob_up_delta,43,1657,2022-11-11T00:00:00,-0.0054445408431365,0.5098356008529663,0.485210508108139,-0.024625092744827326,1,0,False,True,-0.3736900921650144,-0.5081047145983825,-1.1344877049722104,-0.297868494831528,0.172890633406062
funding_mean_20_low20,yes,correction,largest_abs_prob_up_delta,43,1853,2023-05-26T00:00:00,-0.0414675847152989,0.5178864002227783,0.499675989151001,-0.018210411071777344,1,0,False,True,-0.624597107074657,-0.5081047145983825,2.1022240135258428,-0.5565669128504264,-0.4146408212906754
funding_mean_20_low20,yes,correction,largest_abs_prob_up_delta,43,1488,2022-05-26T00:00:00,-0.2266206870572763,0.513679027557373,0.4957461059093475,-0.017932921648025568,1,0,False,True,-0.5726941057693062,-0.5081047145983825,3.3873391643454656,0.1284446212530257,-2.463738670193471
funding_mean_20_low20,yes,correction,largest_abs_prob_up_delta,43,1684,2022-12-08T00:00:00,-0.0392931996446836,0.5050923228263855,0.489188402891159,-0.015903919935226496,1,0,False,True,-0.2427210937851898,-0.5081047145983825,-2.759836687106325,-1.340832666777632,0.1986427685302682
