feature,family,source_feature,num_rows_all,missing_rate_all,missing_rate_train,train_mean,train_std,train_unique,train_corr_label,train_abs_corr_label,train_corr_future_return,train_abs_corr_future_return,train_spearman_future_return,train_abs_spearman_future_return,test_corr_stage2_error_rate,test_abs_corr_stage2_error_rate,test_corr_stage2_prob_up_mean,test_abs_corr_stage2_prob_up_mean,test_corr_stage2_uncertainty,test_abs_corr_stage2_uncertainty,train_only_candidate_score
fsi__ofr_fsi_delta_20_normalized,fsi,ofr_fsi_delta_20_normalized,2399,0.0,0.0,1.853129340655999e-17,1.0007459904058726,473,0.006840242154315494,0.006840242154315494,-0.05405712980064449,0.05405712980064449,-0.11136725649795938,0.11136725649795938,-0.06650513124746338,0.06650513124746338,-0.009411902958205032,0.009411902958205032,-0.010422874268659772,0.010422874268659772,0.11136725649795938
news__news_svd_7d_25_normalized,news,news_svd_7d_25_normalized,2399,0.0,0.0,7.94198288852571e-18,1.000745990405874,651,-0.08660889977464074,0.08660889977464074,-0.10645565713722026,0.10645565713722026,-0.11011309054252222,0.11011309054252222,0.029473061432815157,0.029473061432815157,-0.10884189275625933,0.10884189275625933,0.040462961145745165,0.040462961145745165,0.11011309054252222
fsi__ofr_fsi_delta_60_normalized,fsi,ofr_fsi_delta_60_normalized,2399,0.0,0.0,4.765189733115426e-17,1.000745990405874,480,0.06641677845073711,0.06641677845073711,0.022351804382198852,0.022351804382198852,-0.10717695414755421,0.10717695414755421,0.01627867976265585,0.01627867976265585,-0.10731284719934481,0.10731284719934481,0.003809067236316812,0.003809067236316812,0.10717695414755421
news__news_svd_20d_06_normalized,news,news_svd_20d_06_normalized,2399,0.0,0.0,0.0,1.0007459904058726,656,0.06949328631099742,0.06949328631099742,0.02928076791779855,0.02928076791779855,0.10369793760535498,0.10369793760535498,0.015905367804791286,0.015905367804791286,-0.04402746227913149,0.04402746227913149,-0.0186211739575591,0.0186211739575591,0.10369793760535498
news__news_svd_60d_19_normalized,news,news_svd_60d_19_normalized,2399,0.0,0.0,2.117862103606856e-17,1.0007459904058738,659,0.07740083042932591,0.07740083042932591,0.047728904559041226,0.047728904559041226,0.10226624740849667,0.10226624740849667,-0.058920303605105966,0.058920303605105966,-0.20527136189163683,0.20527136189163683,0.17827994409981546,0.17827994409981546,0.10226624740849667
news__news_svd_60d_28_normalized,news,news_svd_60d_28_normalized,2399,0.0,0.0,0.0,1.0007459904058726,659,-0.10166444911191704,0.10166444911191704,-0.09872856917999183,0.09872856917999183,-0.09904848654425201,0.09904848654425201,-0.03802448023876061,0.03802448023876061,0.19740345358448863,0.19740345358448863,-0.16578952688038623,0.16578952688038623,0.10166444911191704
technical__mfi_60_normalized,technical,mfi_60_normalized,2399,0.0,0.0,2.117862103606856e-16,1.000745990405873,659,0.07592939473705113,0.07592939473705113,0.10130435824767724,0.10130435824767724,0.08938443968544955,0.08938443968544955,-0.10011609647091901,0.10011609647091901,-0.07208431492189366,0.07208431492189366,0.07256330444275727,0.07256330444275727,0.10130435824767724
news__news_svd_20d_13_normalized,news,news_svd_20d_13_normalized,2399,0.0,0.0,1.588396577705142e-17,1.0007459904058742,656,0.05750554513102032,0.05750554513102032,0.09254610200089303,0.09254610200089303,0.09937078195798259,0.09937078195798259,0.022040511765807076,0.022040511765807076,-0.02315802354561017,0.02315802354561017,-0.06630867374090235,0.06630867374090235,0.09937078195798259
roro__roro_proxy_mean_60_normalized,roro,roro_proxy_mean_60_normalized,2399,0.0,0.0,-5.29465525901714e-17,1.0007459904058742,659,0.07048621141768603,0.07048621141768603,0.04117007443801912,0.04117007443801912,-0.09404004434089025,0.09404004434089025,0.05043850011379085,0.05043850011379085,0.0960364247590147,0.0960364247590147,0.03795666423770155,0.03795666423770155,0.09404004434089025
news__news_svd_20d_10_normalized,news,news_svd_20d_10_normalized,2399,0.0,0.0,-5.29465525901714e-18,1.0007459904058735,656,0.04692580700356193,0.04692580700356193,0.07794897786626198,0.07794897786626198,0.09211650054301503,0.09211650054301503,0.051745471992042366,0.051745471992042366,0.03810984166220966,0.03810984166220966,0.029044263652108087,0.029044263652108087,0.09211650054301503
news__news_svd_20d_17_normalized,news,news_svd_20d_17_normalized,2399,0.0,0.0,-3.176793155410284e-17,1.000745990405873,656,-0.09028127831575561,0.09028127831575561,-0.052177404676771046,0.052177404676771046,-0.06557980345585886,0.06557980345585886,0.09123084218087252,0.09123084218087252,-0.04926277462605423,0.04926277462605423,0.015669552797157427,0.015669552797157427,0.09028127831575561
news__news_svd_20d_15_normalized,news,news_svd_20d_15_normalized,2399,0.0,0.0,2.382594866557713e-17,1.0007459904058726,656,0.0890837379894095,0.0890837379894095,0.011534354960041042,0.011534354960041042,0.0698293848882568,0.0698293848882568,0.03745523793014896,0.03745523793014896,-0.08836544011322252,0.08836544011322252,0.14947290347390335,0.14947290347390335,0.0890837379894095
roro__roro_proxy_value_normalized,roro,roro_proxy_value_normalized,2399,0.0,0.0,-3.706258681311998e-17,1.000745990405874,589,-0.04033261834562816,0.04033261834562816,-0.08783308205682815,0.08783308205682815,-0.07069371586572479,0.07069371586572479,-0.09142970675508517,0.09142970675508517,0.013261084647966789,0.013261084647966789,-0.08511530728532965,0.08511530728532965,0.08783308205682815
