split,window_days,feature,mean,std,min,max
train,20,news_svd_20d_27,-0.0007875574304982814,0.10848939927979938,-0.2597398094310998,0.29870438846324404
train,20,news_svd_20d_28,0.006764447420686639,0.10723765611179788,-0.22573874356307158,0.3079275895705466
train,20,news_svd_20d_29,0.004193761858044629,0.10825034457316766,-0.24616133160774456,0.25012740160259517
train,20,news_svd_20d_30,0.0016858995553867815,0.10423676780565257,-0.2213425322247238,0.2946809584474622
train,20,news_svd_20d_31,0.0019423307265644825,0.10400794196497586,-0.23240402093869253,0.24144277390363575
train,60,news_svd_60d_00,0.5199705411135106,0.05034667968538797,0.43372750640179847,0.6147107837948476
train,60,news_svd_60d_01,0.018118245945818727,0.2728854578462296,-0.2774339481511646,0.4638436048495328
train,60,news_svd_60d_02,-0.0008853251798800323,0.23757665476722026,-0.39272786279718674,0.3988989885802205
train,60,news_svd_60d_03,0.014292170575899835,0.22678050626367222,-0.34740932588398615,0.41369315215413804
train,60,news_svd_60d_04,0.0002050120804175285,0.212303501053535,-0.3700172002790237,0.37294271264175616
train,60,news_svd_60d_05,0.006513945514343291,0.20890449347546716,-0.36670067016572394,0.4131107420577115
train,60,news_svd_60d_06,0.003734711651539907,0.2021846268568521,-0.4065565049737094,0.46404519068567096
train,60,news_svd_60d_07,0.004274591437117224,0.19530731141576765,-0.3502294675175444,0.3871016688392309
train,60,news_svd_60d_08,-0.006415448133330314,0.18706317468679365,-0.3352533923839409,0.3763439036426184
train,60,news_svd_60d_09,-0.0107377311826971,0.18341655318773492,-0.38304215521434765,0.4253919174879591
train,60,news_svd_60d_10,0.0030463422516136146,0.16869239856742585,-0.3604672280819871,0.37454260732316136
train,60,news_svd_60d_11,0.003823455711122058,0.16142865746231302,-0.28188841080289173,0.30095725130615203
train,60,news_svd_60d_12,-0.0006589692718919418,0.15384999809131764,-0.3929508043085131,0.4764494176802324
train,60,news_svd_60d_13,0.00011213908752424923,0.14405619362051428,-0.3013653278556384,0.3336107083455996
train,60,news_svd_60d_14,0.00825300106917007,0.13957815887940647,-0.3009106960382429,0.4253008004954326
train,60,news_svd_60d_15,-0.007562748448844355,0.13325118209070727,-0.2768737801307556,0.38587638848652606
train,60,news_svd_60d_16,-0.006618167149534437,0.12507944756415446,-0.295223817071468,0.2923475984939417
train,60,news_svd_60d_17,-0.008954899749992175,0.10461734088433346,-0.26645719453207,0.34958153467255193
train,60,news_svd_60d_18,-0.009854074452852638,0.10975904632340847,-0.2223517148769764,0.211703442272934
train,60,news_svd_60d_19,0.007054068077849347,0.09707890969225727,-0.19888184220145197,0.2579194605406358
train,60,news_svd_60d_20,-0.002372572915595063,0.08745096096857496,-0.19272177997837947,0.17453636159678995
train,60,news_svd_60d_21,0.0059766048905114735,0.08081396221514438,-0.17761761651740085,0.17158254719630744
train,60,news_svd_60d_22,0.005685317464626185,0.07273247582134944,-0.1653081394459856,0.1666945676561982
train,60,news_svd_60d_23,0.004314906698579257,0.0656858312384471,-0.11627939617657064,0.1366525468868831
train,60,news_svd_60d_24,0.016047242766628684,0.04528415896583587,-0.09694857623580819,0.16684406618443404
