Date,AdrActCnt,TxCnt,HashRate
2024-02-27,917983,388230,524073681.0233341
2024-02-28,1054242,415406,605325415.4676697
2024-02-29,989364,407609,540324029.0822262
2024-03-01,1058499,415081,607463923.1349978
2024-03-02,843207,342086,500960507.5972892
2024-03-03,868123,385135,611408497.2364957
2024-03-04,889591,358771,508849650.1201027
2024-03-05,1163884,424703,658743346.6931943
2024-03-06,922558,381467,552239931.1554856
2024-03-07,1034779,437969,710022770.2513908
2024-03-08,947450,424558,607463923.1349978
2024-03-09,915625,362520,642965061.6475674
2024-03-10,862638,363011,564073647.779797
2024-03-11,1150718,393001,670577063.3175056
2024-03-12,1016389,344882,556184505.2569835
2024-03-13,1093495,387845,631131350.7034383
2024-03-14,1000634,330080,580862770.2919041
2024-03-15,963220,311078,529980319.0136912
2024-03-16,916345,355299,600922569.4689919
2024-03-17,861558,365645,609268716.934864
2024-03-18,910571,417117,600922569.4689919
2024-03-19,974102,459004,655172524.9925482
2024-03-20,942142,360623,621787935.1290596
2024-03-21,819742,328692,500768805.88775134
2024-03-22,915500,347556,563364908.8771799
2024-03-23,908728,315648,650999448.2549993
2024-03-24,918817,331993,709422480.5161047
2024-03-25,918815,320633,550845690.6829845
2024-03-26,851577,313314,559191838.1488568
2024-03-27,865580,358499,567537979.6055032
2024-03-28,942681,433584,630471212.2216165
2024-03-29,847610,451776,595046224.9834744
2024-03-30,826192,486300,640501145.6086524
2024-03-31,691124,315001,566120367.485718
2024-04-01,970510,330165,619839819.6746066
2024-04-02,953501,358331,611575288.1108959
2024-04-03,965290,369696,586781693.4197637
2024-04-04,978380,324609,570252630.2923422
2024-04-05,950040,346357,611575288.1108959
2024-04-06,907389,433426,640501145.6086524
